28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DENI068;Göttingen-Verkehr;14;K;01.01.2017;27.05.2017;6;8;0;0;0;0;0;0;0;0;0;0
DENI070;Salzgitter-Drütte;6;K;01.01.2017;27.05.2017;0;6;0;0;0;0;0;0;0;0;0;0
DENI071;Barbis-Verkehr;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DENI075;Braunschweig-Verkehr;11;K;01.01.2017;27.05.2017;4;7;0;0;0;0;0;0;0;0;0;0
DENI077;Solling-Süd;2;K;01.01.2017;27.05.2017;0;2;0;0;0;0;0;0;0;0;0;0
DENI143;"Oldenburg Heiligengeistwall";12;K;01.01.2017;27.05.2017;6;6;0;0;0;0;0;0;0;0;0;0
DENI157;"Wolfsburg Heßlinger Straße";10;K;01.01.2017;27.05.2017;4;6;0;0;0;0;0;0;0;0;0;0
DENW002;Datteln-Hagem;6;K;01.01.2017;27.05.2017;3;3;0;0;0;0;0;0;0;0;0;0
DENW006;Lünen-Niederaden;4;K;01.01.2017;27.05.2017;2;2;0;0;0;0;0;0;0;0;0;0
DENW008;Dortmund-Eving;10;G;01.01.2017;31.03.2017;4;6;0;0;0;0;0;0;0;0;0;0
DENW021;Bottrop-Welheim;9;G;01.01.2017;31.03.2017;4;5;0;0;0;0;0;0;0;0;0;0
DENW022;Gelsenkirchen-Bismarck;10;G;02.01.2017;01.04.2017;6;4;0;0;0;0;0;0;0;0;0;0
DENW024;Essen-Vogelheim;7;K;01.01.2017;27.05.2017;4;3;0;0;0;0;0;0;0;0;0;0
DENW029;Hattingen-Blankenstein;3;K;01.01.2017;27.05.2017;1;2;0;0;0;0;0;0;0;0;0;0
DENW030;Wesel-Feldmark;5;K;01.01.2017;27.05.2017;2;3;0;0;0;0;0;0;0;0;0;0
DENW034;Duisburg-Walsum;6;G;02.01.2017;01.04.2017;4;2;0;0;0;0;0;0;0;0;0;0
DENW038;Mülheim-Styrum;8;G;01.01.2017;31.03.2017;4;4;0;0;0;0;0;0;0;0;0;0
DENW040;Duisburg-Buchholz;4;G;02.01.2017;01.04.2017;2;2;0;0;0;0;0;0;0;0;0;0
DENW042;Krefeld-Linn;6;K;01.01.2017;24.05.2017;4;2;0;0;0;0;0;0;0;0;0;0
